('운용관리계약과 자산관리계약은 각각 체결해야 합니까?', 'life')
('개별 사업장에서 퇴직연금제도를 실시한다면 실시이전에 근무한 기간에 대해서는 어떻게 처리하나요?', 'life')
('(냉방)실외기에서 물이 떨어져요.', 'svc')
('기상악화로 인한 취소는 수수료가 부과되나요?', 'tour')
('모든 협회의 협회원들은 단체보험 가입이 가능합니까?', 'life')
('치과병원에서 통원치료를 받았습니다. 이 경우도 실손의료비보장특약에서 보장 되나요?', 'life')
('보험이 적용되지 않는 경우', 'tour')
('핫스팟 연결 안됨(비밀번호 확인 및 변경방법)', 'svc')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('결제수단별 복합 결제 수단이 어떻게 되나요?', 'shp')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('신용 불량자도 해외여행을 할 수 있나요?', 'tour')
('성지순레 여행지 중 비자를 필요로 하는 나라가 있나요?', 'tour')
('요금에 추가되는 세금(TAX)과 유류할증료는 무엇인가요?', 'tour')
('간편비밀번호를 시도하니 재등록하라는 메세지가 나옵니다. 왜 그런가요?', 'life')
('모바일카드를 발급 받고 싶습니다.', 'svc')
('자동이체 결제계좌 변경이 되지 않습니다.', 'life')
('냉기가 나왔다 안 나왔다 해요.', 'svc')
('변액보험에 대해서 자세히 설명해주세요', 'life')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('임산부일 경우 비행기 탑승에 제한이 있나요?', 'tour')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('휴대폰 화면을 케이블 없이 TV에서 볼 수 있나요.', 'svc')
('환불은 어떻게 이뤄지나요?', 'tour')
('[안드로이드] 업데이트 후 제품등록시 무한로딩이 발생합니다.', 'svc')
('패키지 일정을 함께 관광하고 나서 돌아올 때만 일정 변경이 가능한가요?', 'tour')
('펀드 이름의 구성은 어떻게 되나요?', 'life')
('가족계약대출을 상환하려면 어떻게 해야 합니까?', 'life')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('소득공제 안내장을 발행해 주십시오.', 'life')
('확정기여형의 실시가 더 적합한 사업장 또는 근로자는?', 'life')
('가족 카드로 결제가능한가요 ?', 'tour')
('LG Hi-Fi Plus에 이어폰 연결 후 동작은 어떻게 되나요?', 'svc')
('음성으로 휴대폰 기능을 사용할 수 있나요.', 'svc')
('모바일 예약은 어떻게 결제하나요?', 'tour')
('리모컨 화면이 꺼져있어요.', 'svc')
('트윈에는 2인의 조식이 모두 포함인가요?', 'tour')
('홈페이지를 통해 아파트 담보대출(스마트 모기지론)을 신청하려면 회원가입조건은?', 'life')
('퇴직연금에도 퇴직금 중간정산제와 같이 근로자가 목돈을 필요로 할 때 사용할 수 있는 제도가 있나요?', 'life')
('근로자가 사용자의 납부에 더하여 추가로 부담할 수 있나요?', 'life')
('V20(F800) SD 카드는 어떻게 사용 하나요', 'svc')
('(냉방) 실외기에서 물이 떨어져요.', 'svc')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('책임보상 제도가 무엇인가요?', 'life')
('실내기 LED 램프가 깜박 거려요.', 'svc')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('등록한 영문 명 확인하고 싶어요', 'tour')
('새 제품인데 사용 중 냄새가 나요.', 'svc')
('현지에서 옵션 가격 지불할 때 카드를 사용할 수 있나요? 현금으로 지불해야 한다면 현지통화를 준비해야 하는건지 달러로 지불하여야 하는건지 궁금합니다.', 'tour')
('요금미정으로 보이는 숙소는 접수가 불가능 한가요?', 'tour')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('내가 총 납입한 보험료에서 대출을 다 받는거 아닙니까?', 'life')
('차량인수시  예약한 운전자정보 다릅니다!', 'tour')
('LG 360 VR의 렌즈 위치와 초점 조정 방법은 어떻게 되나요?', 'svc')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('냉기가 나왔다 안 나왔다 해요.', 'svc')
('내일이 출국인데 알짜항공권 E-TKT은 언제 받을수 있나요?', 'tour')
('부분 결제 시 최소 결제 금액은 얼마인가요?', 'tour')
('[결제오류] 결제요청이 안되요', 'tour')
('에어컨 부품을 택배로 받아볼 수 있나요.', 'svc')
('에어컨에 물방울이 맺혀요. 흰 연기가 나와요.', 'svc')
('부활시에도 자필서명이 필요합니까?', 'life')
('신용카드 무이자할부 결제에 대해 자세히 알고 싶어요.', 'shp')
('계약자(수익자) 변경 절차를 알려주세요', 'life')
('카메라 전문가 모드의 수동 초점(Manual Focus)은 어떻게 동작 하나요?', 'svc')
('에어컨에서 물 흐르는 소리가 나요.', 'svc')
('모바일 닷컴에서 예약했는데 마일리지 또는 상품권 결제가 가능한가요?', 'tour')
('변액보험 펀드선택에 관해 추천받고 싶습니다.', 'life')
('(냉방)실내기에 성에가 껴요.', 'svc')
('필터의 교체시기/구입방법이 궁금해요.', 'svc')
('유레일 패스로 영국에서 사용 가능 한가요?', 'tour')
('회원정보를 변경하려 하는데  이미 본인인증을 완료하였는데도 계속해서 본인인증 화면이 나오는 이유는 무엇인가요?', 'shp')
('리모컨이 안돼요.', 'svc')
('배수펌프를 사용 하시나요?', 'svc')
('카메라 전문가 모드의 노출 조절(Exposure value)은 어떻게 동작 하나요?', 'svc')
('병원에서 진료비영수증을 받았습니다. 진료비영수증에 나타난 실손의료비 청구금액은 어떻게 확인하나요?', 'life')
('항공편 예약은 언제부터 가능한가요? 예약 후 항공권 구입은 언제까지 해야 하나요?', 'tour')
('[안드로이드] 업데이트 후 제품등록시 무한로딩이 발생합니다.', 'svc')
('휴일에도 상품을 받을수 있나요?', 'shp')
('여권 발급 예정일 경우 어떻게 결제를 하나요?', 'tour')
('휴대폰에 물기나 이물질이 들어갔어요.', 'svc')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('세이버 패스는 무엇인가요?', 'tour')
('투인원에어컨을 동시에 가동하면 능력이 떨어지나요.', 'svc')
('회원탈퇴 하려고 하니 [오픈마켓 판매자]라고 메세지가 뜨면서 탈퇴가 안됩니다.', 'shp')
('호텔 전액 결제 해야 하나요?', 'tour')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('휴대폰 잠금설정은 어떻게 하나요.', 'svc')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('국내숙박&펜션 예약시 법인카드 결제는 어떻게 하나요?', 'tour')
('청약시 자필서명을 하지 않았습니다. 보험보장이 가능합니까?', 'life')
('새 휴대기기로 데이터 옮기는 방법을 알고 계신가요(LG 모바일 스위치)', 'svc')
('새 제품인데 에어컨에서 냄새가 날수 있나요.', 'svc')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('퇴실은 몇 시까지 하면 될까요?', 'tour')
('[일본][규슈] 산큐패스란 무엇인가요?', 'tour')
('난방이 됐다 안됐다 해요.', 'svc')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('패키지 여행 일정에 자유여행이 있는데 그때는 무엇을 하나요?', 'tour')
('(난방) 토출구에서 흰 연기가 나와요. 수증기가 보여요.', 'svc')
('오늘 청구하면 언제 지급됩니까?', 'life')
('하나투어마일리지를 적립 받는 방법은?', 'tour')
('퇴직연금제도를 도입할 때 과거분까지 적립하려면 부담이 너무 크지 않습니까?', 'life')
('필터청소는 어떻게 하나요.', 'svc')
('어제 통장에 잔고가 없어서 인출이 안되었는데 오늘 인출할 수 있나요?', 'life')
('퇴직연금 실시이전의 기간에 대한 적립금을 한꺼번에 전부 적립해야 하나요?', 'life')
('도둑 맞았을 때는 어떻게 대처 해야하나요?', 'tour')
('스마트/와이파이 모듈을 구입했는데 어디에 꽂나요.', 'svc')
('DC 부담금은 얼마고 어떻게 계산합니까?', 'life')
('호텔 예약시 함께 가는 일행 정보 모두 입력 해야 할까요?', 'tour')
('확정기여형에 있어서 적립금 운용방법 선정에 근로자들은 금융지식이 없는데  도움이 필요하지 않나요?', 'life')
('[탑승수속][기타] 탑승수속을 하기 위하여 언제까지 공항에 가야 하나요?', 'tour')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('무릎의 십자인대 파열로 수술 후 의사의 권유에 따라 보조기를 구입했습니다. 실손보장이 가능한가요?', 'life')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('앱을 설치했는데 홈화면에 아이콘이 2개 생겼어요.', 'svc')
('에어컨의 토출구가 올라가지 않아요. 날개가 열리지 않아요.', 'svc')
('현지에서 투숙 일정이 단축 되거나 변경이 되어도 취소료가 발생하나요 ?', 'tour')
('F720 펜 지킴이 기능 -', 'svc')
('에어컨이 꺼져 있는데 실외기가 돌아가요. 사용하지 않는데 물이 떨어져요.', 'svc')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('보안메일을 모바일에서 열람하고 싶습니다.', 'life')
('비밀번호가 기억나지 않습니다.', 'life')
('선납보험료란 무엇입니까?', 'life')
('어제 통장에 잔고가 없어서 미인출 되었는데 오늘 인출할 수 있습니까?', 'life')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('예약 번호를 넣어도 조회가 되지 않습니다. 어떻게 하나요?', 'tour')
('휴일에도 상품을 받을수 있나요?', 'shp')
('버튼을 눌러도 동작하지 않아요.(공기청정 좌우바람 먼지상태 습도 등)', 'svc')
('퇴직연금의 경우 근로자에 대한 교육이 중요하다는 데 교육은 누가 어떻게 시키나요?', 'life')
('보험료를 추가납입할 수 있다고 하는데 어떻게 납입합니까?', 'life')
('현행 퇴직금제도는 없어집니까?', 'life')
('[티켓(e-ticket)출력] 공항에는 무엇을 가지고 가면 되나요?', 'tour')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('14세 미만은 가입할 수 없나요?', 'shp')
('결제 후 바우처 없이 체크인이 가능한가요?', 'tour')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('종합건강진단 서비스는 어떤 사람이 받을 수 있습니까?', 'life')
('하나의 사업장에서 여러 제도를 동시에 시행할 수 있나요?', 'life')
('스탠드 에어컨 시운전 방법', 'svc')
('할인 관광지 티켓은 어디에서 수령하나요?', 'tour')
('G5에 NFC로 휴대폰 데이터 받기는 어떻게 하나요?', 'svc')
('에어컨에서 물 흐르는 소리가 나요.', 'svc')
('[기타] 항공권의 표시된 두번째 여정 먼저 사용할 수 있나요?', 'tour')
('준비금비례사업비를 부가하는 이유는?', 'life')
('출국과 귀국 도시가 달라요.예약 가능할까요?', 'tour')
('변액보험 펀드변경을 할려고 합니다. 어떤 펀드로 변경해야 하나요?', 'life')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('제도도입 후에 DC 부담금 또는 DB 퇴직급여 수준을 변경할 수 있나요?', 'life')
('V35 G7 V30 Q보이스 사용 방법을 알고 싶어요.', 'svc')
('웹회원탈퇴 방법은?', 'life')
('투인원(2in1) 에어컨의 분해 청소가 가능한가요.', 'svc')
('G7의 AR Stickers 사용 방법을 알려 주세요.', 'svc')
('예약은 전화로만 가능한가요?', 'tour')
('패키지 여행시 항공권 upgrade가 가능한가요?', 'tour')
('가스 새는 소리가 들려요. 사용 안하는데 이상한 소리가 들려요.', 'svc')
('홈페이지내 렌터카 예약절차', 'tour')
('구비서류는 무엇입니까?', 'life')
('크롬 정책 변경에 따른 로그인 이용 안내', 'life')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('[결제수정 및 문의] 두개의 신용카드로 결제할 수 있나요?', 'tour')
('자녀 학자금을 받을 때 대출금을 공제하는 이유는 무엇인지요?', 'life')
('변액보험의 경우 예금자보호법의 보호를 받을 수 있나요?', 'life')
('패드 초기화는 어떻게 하나요.', 'svc')
('퇴직연금 실시이전의 기간에 대한 적립금을 한꺼번에 전부 적립해야 하나요?', 'life')
('호텔 멤버로 가입되어 있는데 마일리지 적립이 가능할까요?', 'tour')
('비밀번호 분실로 화면이 잠기셨나요.', 'svc')
('난방 선택이 안돼요.', 'svc')
('지문인증을 5회 실패했더니 지문인증 재등록 메시지가 나옵니다. 어떻게 해야 하나요?', 'life')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('평소 성지순례 지역에 관심이 많았는데 종교가 없는 사람도 예약이 가능할까요?', 'tour')
('「나의 계약」 비밀번호 확인 방법을 알려주세요', 'life')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('예약확인(변경&취소&환불)은 어디서 하나요?', 'tour')
('고객부담배송비란 무엇인가요?', 'shp')
('LG SmartWorld란 무엇인가요.', 'svc')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('[난방] 실외기에서 물이 떨어져요.연기가 올라와요.', 'svc')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('비자가 필요한 나라일 경우 비자 수속은 개인이 하나요? 아니면 대행해주나요?', 'tour')
('미러링크(MirrorLink) 기능은 무엇인가요.', 'svc')
('국민건강보험  의료급여를 적용받지 못한 경우는 실손보장이 안되나요?', 'life')
('USB 케이블 연결 및 충전 중에 LG 캠 플러스는 동작을 하나요?', 'svc')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('외국인(교포) 입니다. 웹회원 가입시 실명확인이 되지 않습니다.', 'life')
('휴일에도 상품을 받을수 있나요?', 'shp')
('이메일 명의자와 가입자의 명의자가 맞지 않더라도 인증이 가능한가요?', 'shp')
('제습 운전을 해도 습도가 내려가지 않아요', 'svc')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('공동운항(코드쉐어)은 무슨뜻인가요?', 'tour')
('부활보험료를 카드로 납입할 수 있습니까?', 'life')
('(챔피언)에어컨 도어 여는 방법을 알려주세요.', 'svc')
('[수화물/동승자][기타] 임산부일 경우 비행기 탑승에 제한이 있나요?', 'tour')
('V35  G7의 전화 수신 시 플래시 기능을 알려주세요.', 'svc')
('교환을 할 경우 상품을 보내고 다시 받는 택배 비용은 누가 부담하나요?', 'shp')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('화면 밝기를 100% 로 해도 화면이 어두워요.', 'svc')
('예약했는데 예약 확인은 어떻게 하나요?', 'tour')
('LG 360 캠은 어떻게 사용하나요?', 'svc')
('확정급여형의 실시가 더 적합한 사업장 또는 근로자는?', 'life')
('(난방) 실외기에 성에가 껴요.', 'svc')
('분할/배당 자동송금제도에 대한 안내입니다.', 'life')
('냉기가 안나올때 냄새가 심해져요. 송풍으로 사용 시 냄새가 나요.', 'svc')
('모든 사업장에서 강제로 퇴직연금제도를 실시해야 하나요?', 'life')
('외국인(교포) 입니다. 웹회원 가입하였으나 퇴직연금 MY삼성생명에 접속이 되지 않습니다.', 'life')
('휴일에도 상품을 받을수 있나요?', 'shp')
('보장성 보험으로 납입이 완료되면 기납입보험료를 모두 받을수 있습니까?', 'life')
('상하 / 좌우 날개 조절이 안돼요.', 'svc')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('휴일에도 상품을 받을수 있나요?', 'shp')
('근로자의 자율적인 추가각출이 허용된다면 한도는 얼마인가요?', 'life')
('LG 360 VR의 렌즈 위치와 초점 조정 방법은 어떻게 되나요?', 'svc')
('부담금은 기업이 전부 부담해야 합니까?', 'life')
('각 결제수단별 환불 날짜를 자세히 알고 싶어요.', 'shp')
('보안카드를 분실했습니다. 어떻게 해야 합니까?', 'life')
('휴일에도 상품을 받을수 있나요?', 'shp')
('에어컨이 꺼져 있는데 실외기가 돌아가요. 사용하지 않는데 물이 떨어져요.', 'svc')
('찬바람만 나와요. 난방 선택이 안돼요.', 'svc')
('[예약취소 및 환불요청] 항공사에서는 수수료 없이 환불이 가능한데  모두투어는 가능한가요', 'tour')
('[G6] 젠더를 이용해 충전하면 충전 속도가 느려요.', 'svc')
('휴대폰에 물기나 이물질이 들어갔어요.', 'svc')
('여행사에서 항공권을 예약 했습니다. 항공사 홈페이지에서는 확인이 안되나요?', 'tour')
('항공권을 구매하였는데 하나투어마일리지 적립 받을 수 있나요?', 'tour')
('냄새/ 먼지 센서는 어디에 있나요.', 'svc')
('카메라 전문가 모드의 ISO(감도)는 어떻게 동작 하나요?', 'svc')
('표시창에 CH05가 떠요', 'svc')
('항공권 결재 시 항공권의 금액을 같이 가는 일행이 함께 결재 할 수 있나요?', 'tour')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('항공권 결제시한 연장이 가능한가요?', 'tour')
('조식은 모두 포함인가요?', 'tour')
('취소마감일이 지난 예약이라 그런지 예약 과 동시에 결제를 하라고 합니다. 결제 없이 예약만 불가능한가요?', 'tour')
('주일 예배 또는 미사가 포함되어 있나요?', 'tour')
('인터파크에서 사용할 수 있는 결제수단에는 어떤 것들이 있나요?', 'shp')
('퇴직보험청구서에 자필서명을 꼭 해야 합니까?', 'life')
('현지에서 호텔 바우처 분실시 체크인은 문제없나요?', 'tour')
('비밀번호를 잊어버렸는데 임시 비밀번호를 부여 받은 메일 주소도 기억 나지 않아요.', 'shp')
('항공 요금 변동될 수 있나요?', 'tour')
('(냉방)희망온도에 도달해도 실외기가 계속 가동되요. 실내온도가 더 떨어져요.', 'svc')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('기업HR입니다. 전임자 퇴사로 담당자 변경을 하려고 합니다.', 'life')
('하와이도 비자가 필요한가요?', 'tour')
('보험관련 안내장 우편물 수령지를 변경하고 싶습니다.', 'life')
('기본홈과 기본홈(홈&앱서랍)의 다른 점은 무엇인가요.', 'svc')
('결제는 언제까지 해야 하나요?', 'tour')
('출발과 도착지를 변경하고 싶은데 어떻게 해야되나요?', 'tour')
('아이핀(i-PIN)인증이란 무엇인가요?', 'shp')
('K10(LG-F670) 5GHz Wi - Fi 접속 안됨', 'svc')
('오레오 버전에서 앱 다운로드 후 홈화면에 앱 아이콘이 안보여요.', 'svc')
('제품에서 삐삐삐 5회 소리가 나요', 'svc')
('등록 후 여권정보 변경 요청시 (발권후 포함)', 'tour')
('[스케줄변경] 예약한 항공권을 변경하거나 취소할 수 있나요?', 'tour')
('비디오 촬영 시에 녹음되는 소리를 확인할 수 있는 방법이 있나요?', 'svc')
('분실이나 도난에 대비해 휴대폰 데이터를 보호할 수 있나요.', 'svc')
('회원탈퇴 후 개인정보는 언제 삭제되나요?', 'shp')
('신탁이익에 대한 세금은 어떻게 됩니까?', 'life')
('휴대폰을 좀 더 최적화해서 사용하고 싶으신가요?', 'svc')
('실손보험에서 폐렴  독감예방주사를 처방 받았습니다. 보장이 되나요?', 'life')
('휴대폰 초기화 방법을 알고 계신가요', 'svc')
('에어컨 부품을 택배로 받아볼 수 있나요.', 'svc')
('실내기 디스플레이에 청정 표시가 나타나요.청정 표시가 깜박여요.', 'svc')
('스마트폰용 공인인증서의 비밀번호를 분실하였습니다.', 'life')
('퇴직연금제도에서도 중간정산제도가 있습니까? 근로자가 목돈이 필요하면 어떻게합니까?', 'life')
('표시창에 바람개비 표시가 떠요. 실외기 표시가 떠요.', 'svc')
('패키지 여행 중 쇼핑한 물품을 환불하고 싶습니다.', 'tour')
('이티켓 발송해주세요.', 'tour')
('가입 후 대출은 언제부터 가능합니까?', 'life')
('에어컨 가동 중 떨리는 소음이 나요.', 'svc')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('근로자 퇴직통지서는 반드시 첨부해야 하는 것입니까?', 'life')
